ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Material footprint per capita (tonnes) (1990),Material footprint per capita (tonnes) (1991),Material footprint per capita (tonnes) (1992),Material footprint per capita (tonnes) (1993),Material footprint per capita (tonnes) (1994),Material footprint per capita (tonnes) (1995),Material footprint per capita (tonnes) (1996),Material footprint per capita (tonnes) (1997),Material footprint per capita (tonnes) (1998),Material footprint per capita (tonnes) (1999),Material footprint per capita (tonnes) (2000),Material footprint per capita (tonnes) (2001),Material footprint per capita (tonnes) (2002),Material footprint per capita (tonnes) (2003),Material footprint per capita (tonnes) (2004),Material footprint per capita (tonnes) (2005),Material footprint per capita (tonnes) (2006),Material footprint per capita (tonnes) (2007),Material footprint per capita (tonnes) (2008),Material footprint per capita (tonnes) (2009),Material footprint per capita (tonnes) (2010),Material footprint per capita (tonnes) (2011),Material footprint per capita (tonnes) (2012),Material footprint per capita (tonnes) (2013),Material footprint per capita (tonnes) (2014),Material footprint per capita (tonnes) (2015),Material footprint per capita (tonnes) (2016),Material footprint per capita (tonnes) (2017),Material footprint per capita (tonnes) (2018),Material footprint per capita (tonnes) (2019),Material footprint per capita (tonnes) (2020),Material footprint per capita (tonnes) (2021)
AFG,Afghanistan,Asia,Northern Hemisphere,Low,SA,180,2.33,2.28,2.35,2.1,1.83,1.81,1.62,1.73,2.08,2.03,2.28,2.34,2.48,2.63,2.2,2.02,1.53,1.53,1.38,1.43,1.77,2.12,1.86,1.88,1.66,1.62,1.66,1.41,1.32,1.38,1.38,1.38
AGO,Angola,Africa,Southern Hemisphere,Medium,SSA,148,2.44,2.66,4.67,3.31,3.08,2.08,2.03,2.41,2.44,2.35,2.74,3.26,3.04,3.02,3.12,3.39,3.2,3.91,4.95,5.58,4.16,4.39,4.09,4.53,3.97,3.59,2.79,2.64,2.28,2.18,2.18,2.18
ALB,Albania,Europe,Northern Hemisphere,High,ECA,67,6.63,5.91,5.65,5.36,5.54,5.47,6.13,6.18,6.74,7.31,9.44,8.7,8.95,10.46,11.43,12.11,12.07,11.91,13.46,14.5,11.92,12.49,12.44,11.49,13.14,12.61,14.39,14.46,12.85,12.96,12.96,12.96
AND,Andorra,Europe,Northern Hemisphere,Very High,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,Asia,Northern Hemisphere,Very High,AS,26,64.75,34.47,33.09,42.61,49.52,53.11,49.24,49.36,44.01,41.48,42.84,41.7,44.12,46.05,47.91,42.46,52.87,59.52,57.47,73.71,54.63,52.01,49.56,49.68,55.49,59.76,64.95,75.61,65.97,68.95,68.95,68.95
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,47,11.08,12.08,13.47,13.14,13.38,12.69,12.4,13.51,14.51,14.71,14.36,13.21,10.3,11.63,11.96,13.39,13.49,14.68,14.66,13.02,14.59,16.16,15.69,16.74,16.57,17.85,16.95,18.75,16.88,15.81,15.81,15.81
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,85,,2.61,2.81,1.34,3.62,3.09,3.3,3.31,3.86,3.92,3.86,4.13,5.69,6.18,6.58,6.02,7.52,9.04,10.35,8.95,6.45,6.71,6.27,6.15,6.44,6.5,7.79,7.35,6.01,5.95,5.95,5.95
ATG,Antigua and Barbuda,America,Northern Hemisphere,High,LAC,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,Oceania,Southern Hemisphere,Very High,,5,34.68,34.21,34.59,35.59,36.8,35.89,39.63,38.45,44.17,41.25,41.81,37.77,44.81,49.55,48.77,45.32,45.34,47.07,43.28,44.69,45.4,47.14,49.09,45.97,47.8,46.91,46.32,48.27,47.7,46.82,46.82,46.82
AUT,Austria,Europe,Northern Hemisphere,Very High,,25,22.23,26.7,27.06,25.16,25.97,24.51,26.61,25.78,25.74,27.57,26.78,25.62,26.78,25.18,26.08,28.54,27.94,28.09,28.63,27.11,26.49,28.54,27.26,27.32,27.48,26.4,26.89,25.62,25.39,24.62,24.62,24.62
AZE,Azerbaijan,Asia,Northern Hemisphere,High,ECA,91,,3.98,6.19,5.67,5.62,3.51,3.54,3.81,4.7,4.92,5.66,5.81,6.72,7.24,8.06,7.6,8.78,8.18,11.07,9.51,9.57,10.84,11.61,13.44,12.92,10.93,11.4,12.02,10.57,10.56,10.56,10.56
